;Sozler;Kategori
0;Olumlu düşünen, bütün olası dünyaların en iyisinde yaşadığımızı söyler ve olumsuz düşünen, bunun gerçek olmasından korkar. James Cabell;Hayat
1;Bu dünyaya gelmenin sadece tek bir yolu vardır, terk etmenin ise çok fazla yolu. Donald Harington;Hayat
2;Birisinin ‘Hayat zor.’ diye yakındığını duyduğumda, her zaman, ‘Neye kıyasla?’ diye sormayı isterim. Sidney Harris;Hayat
3;Mutsuz olmamamız gerekir. Kimsenin hayatla bir kontratı yok. DavidHeath;Hayat
4;Hayatını kazanırken yaşamasını bilmeyen bir adam, servetini kazanmadan öncesine göre daha fakirdir. Josiah Holland;Hayat
5;Yarının ne olacağını sormaktan vazgeç. Her gün, sana verilen bir hazinedir. Eline geçtikçe değerlendir. Horace Hayatınızı yaşamanın en iyi yolu, sizden sonra da kalıcı olacak şeyler için harcamaktır. William James;Hayat
6;Biz Japonlar, küçük zevklerden hoşlanırız, israftan değil. Daha fazlasını karşılayabilirse de, insanın basit bir yaşam tarzı olması kanısındayım. Massaru Ibuka;Hayat
7;Benim sanatım ve mesleğim yaşamaktır. Montaigne Hayat, çikolata ile dolu bir kutu gibidir. Ne çıkacağını asla bilemezsiniz. Forrest Gump;Hayat
8;"Filmi Hayat, büyük bir sürprizdir. Ölümün neden daha büyük bir sürpriz olması gerektiğini anlayamıyorum. Vladimir Nabokov """"""";Hayat
9;Karım, benim ‘Seni seviyorum.’ dememi binlerce kez duydu ama, hiçbir zaman ‘Üzgünüm.’ dediğimi duymadı. Bruce Willis;Sevgi
10;Büyüklerine saygı, küçüklerine şevkat göstermeyenler, bizden değildir. Hz, Muhammed;Sevgi
11;Sevip de kaybetmek, sevmemiş olmaktan daha iyidir. Seneca;Sevgi
12;Sevgiyle düşünün, sevgiyle konuşun, sevgiyle davranın. Her ihtiyaç karşılanacaktır. James Ailen;Sevgi
13;Sevgi, insanı birliğe, bencillik ise yalnızlığa götürür. Schiller Sevdiği kadını ve sevdiği işi bulan bir erkek, yeryüzünde cenneti bulmuş demektir. Helen Rowland;Sevgi
14;Kızgınlık, kırgınlık ya da acıya tutunmayın. Enerjinizi çalarlar ve sizi sevmekten alıkoyarlar. Leo Buscaglia;Sevgi
15;"Herkes temel bir şeyi unutuyor; insanlar sizi, siz onları sevmeden sevmeyecekler. Pat Carroll";Sevgi
16;Sevgi, dünyadaki yaşamın aktığı nehirdir. Henry Beecher;Sevgi
17;"Sevmeden verebilirsiniz ama, vermeden sevemezsiniz. Amy Carmichael """"""";Sevgi
18;"Dileyin verilecektir; arayın bulacaksınız; kapıyı çalın size açılacaktır. Hz.İsa (a.s.)";Gayret
19;Damlayan su, mermeri, yürüyen de dağları deler. Ovidius;Gayret
20;Hazine, eziyet çekene gözükür. Hz. Mevlâna;Gayret
21;Beklenen gün gelecekse, çekilen çile kutsaldır.V. Hugo;Gayret
22;Yarınlar yorgun ve bezgin kimseler değil, rahatını terk edebilen gayretli insanlara aittir. Cicero;Gayret
23;Emek olmadan, yemek olmaz. Atasözü Kötülüğün hakim olmaması için tek şart, iyilerin gayret göstermeleridir. Kelâmı;Gayret
24;"Kibar İnsan bir şeyi çok ciddi olarak arzu etmeye görsün; hiçbir şey erişilemeyecek kadar yükseklerde değildir. H. Andersen";Gayret
25;Ümitsizlik ve korkaklık, çalışma azminden yoksun insanlara göredir. A. Mourois Bir çığlık, bir çığ meydana getirir. Soljenitsin;Gayret
26;Kıramıyacağm zinciri, hiç olmazsa kemir. C. Şehabettin;Gayret
27;"Basit bir insanın elinden geleni yapması; bilgili ve zeki bir insanın tembelliğinden çok daha değerlidir. Taşı delen, suyun kuvveti değil; dalgaların sürekliliğidir. Damlayan su, taşı deler. Ovidius """"""";Gayret
28;Çok söyleyen değil, çok iş yapan yöneticiye muhtaçsınız. Hz. Ömer (r.a.);Idare
29;Sevginin kurduğu devleti, adalet devam ettirir. Farabi;Idare
30;Her memleketin hakettiği bir hükümeti vardır. J. Maistere;Idare
31;Hükümetlerin en kötüsü, suçsuzu korkutandır. Kendinizi yönetirken kafanızı, başkalarını yönetirken kalbinizi kullanın. Evi ev eden avrat, yurdu şen eden devlet. Atasözü;Idare
32;Mal cimrilerde, silah korkanlarda, idare de zayıflarda olursa, işler bozulur. Hz. Ebubekir;Idare
33;"İnsanlar üç sınıftır: İdareciler, din alimleri ve halk. İdareciler bozulunca, geçim; alimler bozulunca, din; halk bozulunca da hak bozulur. Ebu Bekir Verrak";Idare
34;Kendini yönet, dünyayı yönetecek gücü bulabilirsin. Plato;Idare
35;Kötü idarecilerin başarısı, halkın ıstırabıdır.;Idare
36;"Bir memlekette ayaklar baş olursa, başlar ayaklar altında mahvolur. """"""";Idare
37;Başlangıçta fazla umut ederiz ama, sonrasında yeteri kadar değil. Joesph Roux;Umut
38;Hayatta umutsuz durumlar yoktur, sadece umutsuzluk besleyen insanlar vardır. Booth;Umut
39;Şafaktan önce her yer karanlıktır. Katherine Mansfield;Umut
40;Umut, gözle görülemeyeni görür, elle tutulamayanı hisseder ve imkansızı başarır. Anonim;Umut
41;Büyük umutlar, büyük adamlar yaratır. Thomas Fuller;Umut
42;Umut, fakirin ekmeğidir. Thales Miletus;Umut
43;Kazanmayı umut etmeyen, daha baştan kaybetmiştir. Jose Olmedo;Umut
44;Umut etmeyen, hiçbir zaman umutsuzluğa kapılmaz. George Bernard Shaw;Umut
45;Hiçbir kış, sonsuza kadar sürmez. Hal Borland;Umut
46;Umut, şüphe etmek daha kolayken, inanmaya devam etmektir. Anonim;Umut
47;"Umut, mutluluktan alınmış bir miktar borçtur. Joseph İoubert """"""";Umut
